visit_id,customer_id,visit_datetime,num_people,reservation_made
1,1,2025-06-23 23:06:54,7,True
2,1,2025-04-19 10:47:43,6,False
3,1,2025-12-09 07:41:19,2,False
4,1,2025-09-19 08:17:48,6,True
5,1,2025-03-09 17:29:37,2,True
6,2,2025-10-15 14:35:43,6,False
7,2,2025-09-07 05:19:51,8,False
8,3,2025-06-18 22:12:43,4,False
9,4,2025-03-08 16:03:59,5,False
10,4,2025-01-28 12:05:07,5,True
11,4,2025-06-20 13:07:27,5,False
12,4,2025-07-08 10:31:12,2,False
13,4,2025-11-14 19:29:18,4,True
14,5,2025-09-23 17:21:20,3,False
15,5,2025-11-28 05:03:04,6,True
16,6,2025-12-29 03:02:13,8,True
17,6,2025-09-22 12:45:47,4,True
18,6,2025-07-11 12:05:31,8,False
19,6,2025-10-17 00:56:03,8,False
20,6,2025-02-18 21:55:19,8,True
21,7,2025-05-29 04:03:11,2,True
22,7,2025-01-27 15:06:20,2,False
23,8,2025-04-08 20:55:22,4,False
24,9,2025-06-27 16:25:26,8,False
25,9,2025-09-13 00:49:18,5,True
26,10,2025-07-05 04:23:28,6,True
27,11,2025-04-23 17:27:11,1,False
28,11,2025-08-16 00:46:22,3,False
29,11,2025-04-04 17:01:00,6,False
30,11,2025-03-09 09:43:52,8,False
31,11,2026-01-06 12:39:55,7,False
32,12,2025-01-24 15:56:57,3,False
33,12,2025-06-26 20:49:48,7,False
34,12,2025-06-15 06:51:50,4,False
35,13,2025-12-05 08:50:08,7,False
36,13,2025-10-15 21:48:21,5,False
37,14,2025-10-13 05:02:51,8,True
38,14,2025-12-12 04:04:38,6,True
39,15,2025-11-01 03:58:57,2,False
40,15,2025-03-25 19:19:18,1,True
41,15,2025-06-19 18:19:21,6,False
42,15,2025-04-29 05:30:04,6,True
43,15,2025-12-19 20:43:14,2,False
44,16,2025-09-03 16:32:36,5,False
45,16,2025-08-31 14:28:31,8,True
46,16,2025-09-02 12:57:40,5,False
47,17,2025-02-27 03:13:19,4,True
48,18,2025-11-13 09:29:36,4,True
49,18,2025-12-04 18:53:11,7,False
50,19,2025-02-16 19:32:20,1,False
51,19,2025-10-26 19:20:24,8,False
52,19,2025-09-12 10:58:17,8,False
53,19,2025-11-06 20:22:31,5,True
54,19,2025-09-26 20:46:22,6,False
55,20,2025-07-25 21:46:11,8,False
56,20,2025-07-02 17:53:42,8,True
57,21,2026-01-15 08:57:08,8,False
58,21,2025-07-17 21:02:11,5,True
59,21,2025-05-23 19:04:11,7,False
60,22,2025-04-10 06:48:01,2,True
61,22,2025-11-24 13:03:57,8,False
62,23,2025-01-24 13:31:24,2,True
